iter	MultiClass
0	2.617114578
1	2.591965662
2	2.566243663
3	2.537194518
4	2.511413181
5	2.488174121
6	2.471927617
7	2.453756067
8	2.427558986
9	2.423327818
10	2.400617363
11	2.385314642
12	2.356997116
13	2.349429539
14	2.337812952
15	2.321014314
16	2.312222797
17	2.300716777
18	2.288042789
19	2.265861954
20	2.248155736
21	2.224548394
22	2.213102917
23	2.208445948
24	2.201610666
25	2.186506033
26	2.173500735
27	2.161340328
28	2.140173691
29	2.130668857
30	2.120576525
31	2.113015714
32	2.096277388
33	2.087529343
34	2.070783326
35	2.055373666
36	2.040601671
37	2.017270853
38	2.003739498
39	2.001041499
40	1.992116635
41	1.985476717
42	1.972458827
43	1.963763161
44	1.950872607
45	1.940539027
46	1.930988711
47	1.927611262
48	1.922164016
49	1.910675854
50	1.90518329
51	1.889071554
52	1.881492225
53	1.870495774
54	1.859510975
55	1.843328101
56	1.832111889
57	1.823127654
58	1.809138786
59	1.807225523
60	1.794269986
61	1.780420413
62	1.775213521
63	1.766147843
64	1.758719625
65	1.752362374
66	1.750382293
67	1.738791779
68	1.728205019
69	1.720200741
70	1.712560704
71	1.704626411
72	1.697548717
73	1.694238108
74	1.683817216
75	1.674127089
76	1.667158736
77	1.661965668
78	1.653541005
79	1.637116325
80	1.631612814
81	1.621040447
82	1.615487082
83	1.61287819
84	1.607136424
85	1.590434662
86	1.580888679
87	1.568200656
88	1.565377472
89	1.556706917
90	1.551138841
91	1.542501243
92	1.535876041
93	1.529253207
94	1.521540715
95	1.510658166
96	1.50795845
97	1.503005064
98	1.494168059
99	1.485995072
100	1.478507016
101	1.467822645
102	1.460123416
103	1.452289005
104	1.444754536
105	1.441455933
106	1.432902786
107	1.43147066
108	1.427488537
109	1.418046207
110	1.416210203
111	1.410420042
112	1.401234433
113	1.392840703
114	1.385766665
115	1.382627865
116	1.377248525
117	1.369327432
118	1.366482698
119	1.354773269
120	1.352344098
121	1.346499688
122	1.337370371
123	1.327544087
124	1.322449693
125	1.318994273
126	1.314974858
127	1.306069744
128	1.304111171
129	1.302718562
130	1.299013721
131	1.294147554
132	1.292230078
133	1.286880659
134	1.277080913
135	1.274806323
136	1.265208586
137	1.2578814
138	1.250673652
139	1.245666522
140	1.239873179
141	1.23103798
142	1.226858595
143	1.223502252
144	1.216040217
145	1.213533943
146	1.211452427
147	1.203799668
148	1.202746874
149	1.200291449
150	1.196972518
151	1.188583086
152	1.186990415
153	1.186029492
154	1.184296377
155	1.182440719
156	1.17700403
157	1.168450006
158	1.16278551
159	1.161031083
160	1.153618743
161	1.150596108
162	1.146809782
163	1.139694929
164	1.133014111
165	1.130666951
166	1.128777054
167	1.124546151
168	1.117301885
169	1.114071248
170	1.10923222
171	1.107292394
172	1.105919011
173	1.104921598
174	1.100099825
175	1.095687176
176	1.092046011
177	1.087514443
178	1.085860142
179	1.083450818
180	1.081766703
181	1.077472749
182	1.072810584
183	1.067452709
184	1.065479972
185	1.063988244
186	1.062655427
187	1.059043221
188	1.054943298
189	1.051642618
190	1.049410813
191	1.047962627
192	1.042932723
193	1.039305748
194	1.037956863
195	1.035608442
196	1.032424221
197	1.029471611
198	1.0265756
199	1.022033389
200	1.021043155
201	1.015500018
202	1.010071126
203	1.008978388
204	1.006950112
205	1.005536628
206	1.00131549
207	0.9991016342
208	0.9980317504
209	0.9951244256
210	0.9935611789
211	0.9923160569
212	0.9885736184
213	0.9871338081
214	0.9816300937
215	0.9776994298
216	0.9768789539
217	0.9716949378
218	0.9653981336
219	0.9595770794
220	0.9553236427
221	0.9546850757
222	0.9511397979
223	0.9457992802
224	0.9444582475
225	0.9389092969
226	0.9378956257
227	0.9338676669
228	0.9324305501
229	0.9312819836
230	0.9294487721
231	0.9286211722
232	0.9234819798
233	0.9222156732
234	0.9186363607
235	0.9128673611
236	0.9121677806
237	0.9108083786
238	0.909433368
239	0.9049523836
240	0.9008245388
241	0.8987065983
242	0.8980906696
243	0.893821431
244	0.8931476445
245	0.8921036774
246	0.8909787883
247	0.8902581931
248	0.8882872404
249	0.8837730717
250	0.8803293331
251	0.876417833
252	0.8754630869
253	0.8744049093
254	0.8704070186
255	0.8683657957
256	0.8674813268
257	0.8665276616
258	0.864123236
259	0.8613533389
260	0.8603342046
261	0.8568925051
262	0.8556180075
263	0.8545670677
264	0.8538262737
265	0.8531583617
266	0.851600182
267	0.8494795492
268	0.8481741526
269	0.8467733465
270	0.8444335054
271	0.843700708
272	0.842108126
273	0.8414734558
274	0.83693035
275	0.836302533
276	0.8347410585
277	0.8339546155
278	0.8312701521
279	0.8297812445
280	0.8284928646
281	0.8247709641
282	0.8241367679
283	0.8223309622
284	0.8188267823
285	0.8177952638
286	0.814658931
287	0.8098143952
288	0.8070793561
289	0.8061897978
290	0.8029652916
291	0.8023960748
292	0.801424531
293	0.7994807526
294	0.7972602501
295	0.7956225468
296	0.7949060322
297	0.793130209
298	0.7926056512
299	0.7917931022
300	0.7902700534
301	0.7872100561
302	0.7866408829
303	0.785892502
304	0.7851610223
305	0.783843731
306	0.7820179996
307	0.7810731792
308	0.7776730863
309	0.7762396724
310	0.7723027517
311	0.7718078672
312	0.7712203531
313	0.7686352101
314	0.7680637253
315	0.7673058781
316	0.7661474077
317	0.7654776332
318	0.7630289953
319	0.7622218863
320	0.7611666057
321	0.760479642
322	0.7595942319
323	0.758995333
324	0.7572933667
325	0.7565079273
326	0.7557878325
327	0.7524559933
328	0.7497613523
329	0.7481460617
330	0.7451364243
331	0.7445737214
332	0.7439063555
333	0.7428348673
334	0.7399839964
335	0.7390789155
336	0.7382218214
337	0.7370815277
338	0.7363107593
339	0.7354467764
340	0.7335788569
341	0.7314438156
342	0.7305404446
343	0.7290884062
344	0.7285667611
345	0.7265216323
346	0.7260672082
347	0.7253982056
348	0.7246664121
349	0.7241288074
350	0.720814315
351	0.7174191006
352	0.7157996044
353	0.7131899821
354	0.7111715339
355	0.7085057907
356	0.7060999612
357	0.705325534
358	0.7046110869
359	0.70415508
360	0.7035037672
361	0.7020014266
362	0.7013755281
363	0.7008140348
364	0.7004196732
365	0.6998062001
366	0.699298457
367	0.6980133559
368	0.6969749168
369	0.6953120724
370	0.6947676023
371	0.6940526078
372	0.6922916186
373	0.6917475854
374	0.6909871375
375	0.6903237721
376	0.6883894453
377	0.6877245311
378	0.6870002646
379	0.6863306198
380	0.6858364177
381	0.6850235805
382	0.6843001649
383	0.6824453346
384	0.6798929144
385	0.6790479072
386	0.6765124909
387	0.6759961834
388	0.6752730785
389	0.6746449024
390	0.6741898088
391	0.672081223
392	0.6716108448
393	0.6701603644
394	0.6683571273
395	0.6658986595
396	0.665164279
397	0.6632395272
398	0.6619412712
399	0.6605074754
400	0.6600647212
401	0.6597036701
402	0.6589319295
403	0.6565270759
404	0.6559499095
405	0.6535969719
406	0.6530928648
407	0.6523367341
408	0.651767627
409	0.6511928601
410	0.650328231
411	0.6492683505
412	0.6485620768
413	0.6476390587
414	0.6471717069
415	0.6465601962
416	0.6456907324
417	0.6430210279
418	0.6426807996
419	0.6415567646
420	0.6397387293
421	0.6385611202
422	0.6380603721
423	0.6371968288
424	0.6366535755
425	0.636020503
426	0.6356165377
427	0.6347784103
428	0.6343821507
429	0.6331930424
430	0.6326878787
431	0.6318455145
432	0.6314110544
433	0.630967936
434	0.6305219984
435	0.63002677
436	0.6293255152
437	0.6286728204
438	0.6282070602
439	0.6269373641
440	0.6260280666
441	0.6244972247
442	0.6228889342
443	0.619984283
444	0.619185392
445	0.6174077508
446	0.6167791548
447	0.6149228079
448	0.6143397228
449	0.6123029864
450	0.6117222208
451	0.6112031438
452	0.6105533887
453	0.6098916668
454	0.6087646117
455	0.6081246017
456	0.6065046362
457	0.6060924863
458	0.6049002492
459	0.6042873586
460	0.6037219873
461	0.6030341315
462	0.601370255
463	0.599688586
464	0.5992344105
465	0.598854863
466	0.5984815385
467	0.597925037
468	0.5975047096
469	0.5968429972
470	0.5963373868
471	0.5951986894
472	0.5942108548
473	0.5938651815
474	0.5929278336
475	0.5925666258
476	0.5917703197
477	0.5911166861
478	0.5906764534
479	0.5884618853
480	0.5858760853
481	0.58526603
482	0.583513147
483	0.5825933579
484	0.5821651424
485	0.5816496345
486	0.5802850017
487	0.5792506822
488	0.5788145124
489	0.5784835042
490	0.5778761921
491	0.5774141834
492	0.577044391
493	0.5764967891
494	0.5759458834
495	0.5744712604
496	0.5740936895
497	0.5735236564
498	0.5730845451
499	0.5721216603
500	0.5699520706
501	0.5693472155
502	0.5689158293
503	0.5683158998
504	0.5679524229
505	0.5669801095
506	0.5663210082
507	0.5659726737
508	0.5655146615
509	0.5635482191
510	0.561563237
511	0.560442096
512	0.5599274104
513	0.5595252163
514	0.5584943173
515	0.5564089232
516	0.5548037043
517	0.5537563503
518	0.5514301405
519	0.5510284785
520	0.5506216798
521	0.5489985083
522	0.548586055
523	0.5473794363
524	0.5469571251
525	0.5459748096
526	0.543449058
527	0.5429529907
528	0.5425881609
529	0.5406936395
530	0.540343165
531	0.5382666048
532	0.5356916717
533	0.5353027749
534	0.5347961284
535	0.5344772924
536	0.5321272531
537	0.5304469237
538	0.5282859792
539	0.5279122551
540	0.5254344545
541	0.5246312516
542	0.523784493
543	0.5232202013
544	0.5226299695
545	0.5223043889
546	0.5211079928
547	0.5206950759
548	0.5188779602
549	0.5171592955
550	0.5166495065
551	0.5160831559
552	0.5155750751
553	0.5151474311
554	0.5144249999
555	0.5136776905
556	0.5129566823
557	0.5117419412
558	0.5112661061
559	0.5103508113
560	0.5100612587
561	0.5084858579
562	0.5081758076
563	0.5078399407
564	0.5074906656
565	0.5055324558
566	0.5050236854
567	0.5042687628
568	0.5036616749
569	0.502771223
570	0.5020261306
571	0.5016783442
572	0.4998376753
573	0.4991189882
574	0.4986349403
575	0.4982743084
576	0.4979774587
577	0.4968102088
578	0.4947872362
579	0.4944465637
580	0.4940861542
581	0.492803577
582	0.492092201
583	0.4917188837
584	0.4905023405
585	0.4900992012
586	0.4897958683
587	0.4895159515
588	0.4891875242
589	0.4876643472
590	0.4873344078
591	0.4868080045
592	0.4857728754
593	0.4854668146
594	0.484008517
595	0.483578757
596	0.4831999623
597	0.4828423785
598	0.4825831082
599	0.4822549444
600	0.4819329487
601	0.4815097667
602	0.4807617918
603	0.4802255584
604	0.4792260768
605	0.4786975082
606	0.4783243785
607	0.4778969444
608	0.4773841285
609	0.4770654207
610	0.4757516197
611	0.4754641559
612	0.4751072213
613	0.4748084628
614	0.4743314802
615	0.4737047148
616	0.4724988836
617	0.4708252279
618	0.4701938435
619	0.4696169663
620	0.469280547
621	0.468610525
622	0.4678638647
623	0.4672245629
624	0.4668840048
625	0.4655583545
626	0.4651372635
627	0.4645967028
628	0.4632917094
629	0.4630466389
630	0.4625458309
631	0.4622045733
632	0.4619511218
633	0.4611728434
634	0.4608068834
635	0.4604895928
636	0.4601626424
637	0.4598335798
638	0.4588477918
639	0.4585374544
640	0.4580791661
641	0.4572374479
642	0.4568602953
643	0.4561114713
644	0.455877218
645	0.4556248849
646	0.4541002721
647	0.4538384624
648	0.4534303098
649	0.4529604205
650	0.4527086035
651	0.4523367232
652	0.4521055364
653	0.4516553493
654	0.4498345516
655	0.4487450715
656	0.4478831785
657	0.447252682
658	0.4469656166
659	0.4467018736
660	0.4450588106
661	0.4445363346
662	0.4442866534
663	0.4440392983
664	0.4432822799
665	0.4429554004
666	0.4414868708
667	0.4411038484
668	0.4407253569
669	0.4403640935
670	0.4389889457
671	0.4377121515
672	0.4373262208
673	0.436763247
674	0.4363243664
675	0.4357908888
676	0.4355370527
677	0.4352186873
678	0.4349679454
679	0.4344405324
680	0.4341310037
681	0.4329703527
682	0.4325962811
683	0.4320765414
684	0.4305701579
685	0.4303448774
686	0.4297461019
687	0.4294868807
688	0.4292260281
689	0.4289268863
690	0.4282835328
691	0.4268342282
692	0.4265926326
693	0.4260776584
694	0.4257832829
695	0.4255594899
696	0.4251671616
697	0.4243658479
698	0.4230487222
699	0.4218553273
700	0.4216012214
701	0.4213818538
702	0.4211887092
703	0.4208885166
704	0.4201414243
705	0.4197445962
706	0.4192420651
707	0.4188075261
708	0.417865208
709	0.417526346
710	0.4171738701
711	0.4168718791
712	0.4166625008
713	0.4164190369
714	0.4157760031
715	0.4153877645
716	0.4146534323
717	0.4141902774
718	0.4138046563
719	0.4130747142
720	0.4128032113
721	0.4125048925
722	0.4122658829
723	0.4110265856
724	0.4106912807
725	0.408991269
726	0.4086955034
727	0.40757251
728	0.4069885366
729	0.4067794688
730	0.4064411696
731	0.4058882835
732	0.4056630555
733	0.4048976034
734	0.4046392446
735	0.4044534934
736	0.4041513133
737	0.4029916596
738	0.4025389095
739	0.4021955884
740	0.4019732269
741	0.4006806693
742	0.4004022885
743	0.4002154883
744	0.3995267104
745	0.3992313006
746	0.398917748
747	0.3985957249
748	0.3978213794
749	0.3975491002
750	0.3970328023
751	0.3966369871
752	0.3959547261
753	0.3954851749
754	0.3947112274
755	0.3935198603
756	0.3926392778
757	0.3911264734
758	0.390825115
759	0.3906376459
760	0.3904135247
761	0.3902189278
762	0.3899296604
763	0.3894981019
764	0.389267229
765	0.3890229718
766	0.3888219531
767	0.3882136474
768	0.3879678234
769	0.3872931139
770	0.3871088687
771	0.3869477702
772	0.3865416705
773	0.38591699
774	0.3855966077
775	0.3851407976
776	0.3848584768
777	0.3845907237
778	0.3843482924
779	0.3840881344
780	0.3826336627
781	0.3822901057
782	0.3816680836
783	0.381479845
784	0.3813001527
785	0.3808301835
786	0.3806577465
787	0.380459327
788	0.3802452665
789	0.3800720585
790	0.379881025
791	0.3796932182
792	0.3788310907
793	0.3777892453
794	0.3775366578
795	0.3772864516
796	0.3770223856
797	0.3760437893
798	0.3758171805
799	0.3755531241
800	0.3753621773
801	0.3751825271
802	0.374892511
803	0.3736537974
804	0.3733565669
805	0.3730129803
806	0.3727437698
807	0.3720814988
808	0.3719101065
809	0.3706294529
810	0.3700129092
811	0.3692091646
812	0.3688343414
813	0.3686260745
814	0.3680956396
815	0.3673883404
816	0.3672060595
817	0.3670279697
818	0.3667508508
819	0.3654606772
820	0.3652076945
821	0.3646939758
822	0.364221593
823	0.3631356215
824	0.3629668468
825	0.3625436754
826	0.3621914186
827	0.3617074369
828	0.3614838668
829	0.3612393543
830	0.3610218116
831	0.3608322756
832	0.3605002262
833	0.3602544477
834	0.3600592274
835	0.3598607013
836	0.3593983017
837	0.3592442272
838	0.3588101087
839	0.3585294156
840	0.3582682561
841	0.357755765
842	0.3576067772
843	0.3574441294
844	0.3572249935
845	0.3562276229
846	0.3560568065
847	0.3557943022
848	0.355536034
849	0.3552550947
850	0.3550534399
851	0.3545068718
852	0.354058386
853	0.3538516811
854	0.3536141448
855	0.3534496725
856	0.3532939001
857	0.3527900872
858	0.3523994438
859	0.3519785791
860	0.3516986066
861	0.3513988182
862	0.3512071717
863	0.3510299467
864	0.350829671
865	0.3506915294
866	0.3505210109
867	0.3502377278
868	0.3497694743
869	0.3493327873
870	0.3491563681
871	0.3489742328
872	0.3478026648
873	0.3475339392
874	0.3472489532
875	0.3470550499
876	0.3465539345
877	0.3463523695
878	0.3462135683
879	0.3460450079
880	0.3456853592
881	0.3454953834
882	0.3450659615
883	0.3447461363
884	0.344119679
885	0.3436679114
886	0.343317783
887	0.3428905537
888	0.3426035488
889	0.3420738983
890	0.3415029627
891	0.3412744504
892	0.3410996093
893	0.3408891909
894	0.3406650483
895	0.3404983337
896	0.3400131104
897	0.3392996487
898	0.3390875495
899	0.3381689501
900	0.337076732
901	0.3367529451
902	0.336589875
903	0.3363916428
904	0.3358608158
905	0.3352176559
906	0.335098421
907	0.3339782086
908	0.3337311915
909	0.3333030732
910	0.3326199776
911	0.3316775424
912	0.3311800292
913	0.3310272956
914	0.3308240392
915	0.3304395622
916	0.3298156253
917	0.3296029528
918	0.3291063804
919	0.3289174508
920	0.328533368
921	0.3283436322
922	0.328053257
923	0.3272439065
924	0.3270885485
925	0.3268970821
926	0.3267774962
927	0.3266480586
928	0.3256686036
929	0.3255344196
930	0.3253874234
931	0.3250236774
932	0.3246504119
933	0.3244845502
934	0.3238882039
935	0.3236213955
936	0.3234417153
937	0.3229750512
938	0.3228160088
939	0.3220949298
940	0.3216829209
941	0.3215173257
942	0.3212819958
943	0.3204354092
944	0.3197396331
945	0.3189611791
946	0.3183395051
947	0.3181261943
948	0.317486519
949	0.3168032135
950	0.3165777585
951	0.3162975848
952	0.3159880757
953	0.3158380348
954	0.3155993353
955	0.3154549377
956	0.3147316336
957	0.3143646747
958	0.314204607
959	0.314053589
960	0.3137763592
961	0.31353444
962	0.3133228257
963	0.3131161228
964	0.312596322
965	0.3124020304
966	0.3121958595
967	0.311404749
968	0.3112506841
969	0.3107309915
970	0.3105154725
971	0.3103887577
972	0.3099577087
973	0.3094439875
974	0.3092862392
975	0.3084505
976	0.3082392568
977	0.3079196901
978	0.3071218056
979	0.3067791169
980	0.3064931986
981	0.3062502019
982	0.3060689165
983	0.3054729745
984	0.3048453985
985	0.304205845
986	0.3038329535
987	0.303269562
988	0.3031208591
989	0.3029389177
990	0.3027978704
991	0.302147676
992	0.3019548426
993	0.30127844
994	0.3009524834
995	0.3008121217
996	0.3004536261
997	0.3002619796
998	0.3001361394
999	0.299601136
