iter	Passed	Remaining
0	10	10857
1	19	9889
2	32	10798
3	41	10439
4	53	10614
5	63	10452
6	68	9678
7	76	9451
8	84	9311
9	91	9024
10	95	8589
11	103	8530
12	111	8453
13	117	8258
14	121	7979
15	128	7928
16	131	7609
17	137	7514
18	144	7458
19	150	7353
20	153	7171
21	161	7168
22	168	7151
23	175	7150
24	180	7027
25	186	6990
26	277	10014
27	316	10999
28	327	10951
29	336	10870
30	343	10749
31	353	10699
32	361	10607
33	370	10535
34	377	10417
35	384	10302
36	392	10205
37	399	10123
38	408	10071
39	416	9992
40	424	9927
41	505	11540
42	543	12096
43	554	12055
44	564	11988
45	576	11949
46	585	11865
47	593	11779
48	603	11715
49	612	11629
50	620	11537
51	626	11430
52	632	11309
53	639	11201
54	645	11098
55	652	11001
56	659	10911
57	702	11402
58	746	11909
59	754	11824
60	765	11777
61	775	11730
62	784	11668
63	791	11581
64	798	11492
65	806	11418
66	814	11344
67	822	11266
68	828	11183
69	836	11109
70	843	11031
71	849	10945
72	855	10868
73	862	10791
74	868	10715
75	875	10645
76	881	10569
77	888	10499
78	892	10403
79	898	10327
80	938	10648
81	982	10996
82	998	11035
83	1012	11043
84	1024	11030
85	1034	10996
86	1044	10962
87	1053	10922
88	1062	10879
89	1071	10835
90	1080	10791
91	1089	10751
92	1098	10712
93	1106	10665
94	1114	10613
95	1121	10563
96	1129	10513
97	1136	10462
98	1143	10405
99	1150	10355
100	1156	10298
101	1163	10240
102	1169	10183
103	1175	10130
104	1182	10077
105	1189	10028
106	1195	9980
107	1202	9933
108	1209	9886
109	1215	9838
110	1248	9999
111	1285	10191
112	1311	10293
113	1324	10292
114	1333	10259
115	1340	10213
116	1347	10167
117	1353	10119
118	1361	10083
119	1367	10031
120	1373	9980
121	1380	9932
122	1385	9879
123	1392	9836
124	1398	9790
125	1404	9744
126	1410	9699
127	1416	9647
128	1421	9598
129	1503	10063
130	1526	10129
131	1533	10085
132	1544	10066
133	1551	10029
134	1562	10008
135	1570	9974
136	1576	9931
137	1583	9889
138	1589	9846
139	1597	9812
140	1604	9775
141	1610	9732
142	1617	9696
143	1624	9654
144	1642	9684
145	1679	9824
146	1717	9965
147	1733	9980
148	1746	9972
149	1756	9950
150	1764	9920
151	1773	9894
152	1781	9861
153	1789	9828
154	1796	9793
155	1803	9757
156	1810	9722
157	1818	9689
158	1825	9656
159	1832	9620
160	1839	9587
161	1847	9554
162	1853	9516
163	1860	9483
164	1866	9446
165	1872	9407
166	1879	9372
167	1885	9337
168	1891	9302
169	1933	9439
170	1971	9559
171	1995	9606
172	2004	9580
173	2012	9551
174	2019	9519
175	2026	9486
176	2033	9456
177	2040	9425
178	2047	9391
179	2053	9356
180	2060	9323
181	2066	9288
182	2073	9256
183	2080	9224
184	2086	9190
185	2092	9158
186	2099	9127
187	2151	9290
188	2185	9376
189	2204	9398
190	2218	9397
191	2230	9384
192	2240	9366
193	2252	9359
194	2261	9336
195	2270	9312
196	2278	9285
197	2285	9256
198	2292	9229
199	2300	9201
200	2302	9154
201	2309	9124
202	2317	9099
203	2325	9073
204	2333	9048
205	2339	9019
206	2346	8987
207	2352	8957
208	2358	8927
209	2365	8898
210	2371	8869
211	2378	8839
212	2384	8811
213	2390	8781
214	2423	8850
215	2508	9106
216	2531	9134
217	2543	9125
218	2555	9112
219	2566	9098
220	2573	9071
221	2581	9045
222	2588	9020
223	2596	8994
224	2603	8969
225	2610	8941
226	2616	8909
227	2623	8881
228	2628	8850
229	2634	8820
230	2640	8790
231	2647	8765
232	2653	8734
233	2660	8707
234	2666	8678
235	2672	8652
236	2682	8635
237	2743	8783
238	2783	8863
239	2795	8852
240	2804	8831
241	2811	8806
242	2818	8781
243	2828	8762
244	2835	8737
245	2842	8710
246	2848	8682
247	2855	8658
248	2893	8726
249	2950	8852
250	2961	8838
251	2973	8824
252	2980	8800
253	2987	8775
254	2995	8750
255	3002	8725
256	3009	8700
257	3016	8674
258	3022	8646
259	3028	8619
260	3035	8594
261	3085	8690
262	3128	8766
263	3140	8754
264	3152	8742
265	3160	8721
266	3169	8702
267	3178	8682
268	3187	8660
269	3194	8637
270	3203	8616
271	3211	8595
272	3218	8570
273	3225	8547
274	3233	8524
275	3240	8500
276	3246	8474
277	3253	8449
278	3260	8425
279	3267	8402
280	3274	8378
281	3281	8356
282	3289	8333
283	3296	8310
284	3319	8329
285	3380	8438
286	3403	8454
287	3414	8441
288	3422	8420
289	3429	8396
290	3436	8372
291	3445	8354
292	3454	8334
293	3460	8308
294	3467	8287
295	3475	8266
296	3483	8244
297	3490	8222
298	3497	8199
299	3504	8177
300	3511	8154
301	3518	8132
302	3526	8112
303	3534	8091
304	3601	8207
305	3636	8248
306	3648	8236
307	3658	8219
308	3667	8200
309	3674	8177
310	3681	8156
311	3689	8134
312	3695	8112
313	3702	8089
314	3709	8067
315	3716	8044
316	3722	8021
317	3729	7998
318	3735	7975
319	3742	7953
320	3749	7930
321	3755	7908
322	3761	7885
323	3768	7862
324	3785	7861
325	3828	7916
326	3862	7949
327	3872	7934
328	3883	7920
329	3892	7902
330	3900	7882
331	3906	7860
332	3914	7841
333	3922	7820
334	3929	7799
335	3935	7777
336	3942	7755
337	3948	7733
338	3955	7712
339	3962	7692
340	3969	7670
341	3975	7649
342	4024	7708
343	4062	7746
344	4075	7738
345	4086	7724
346	4096	7708
347	4105	7692
348	4115	7676
349	4125	7661
350	4133	7641
351	4140	7622
352	4148	7602
353	4155	7583
354	4162	7563
355	4169	7543
356	4176	7523
357	4183	7503
358	4190	7481
359	4196	7460
360	4203	7439
361	4209	7418
362	4215	7397
363	4222	7378
364	4228	7356
365	4235	7336
366	4241	7316
367	4283	7356
368	4317	7383
369	4342	7394
370	4350	7376
371	4358	7358
372	4367	7342
373	4376	7325
374	4385	7309
375	4392	7290
376	4399	7270
377	4406	7251
378	4413	7231
379	4421	7213
380	4428	7194
381	4436	7177
382	4442	7157
383	4448	7135
384	4549	7267
385	4560	7253
386	4568	7236
387	4576	7219
388	4584	7200
389	4591	7182
390	4599	7163
391	4606	7144
392	4612	7124
393	4619	7104
394	4626	7085
395	4632	7065
396	4639	7046
397	4646	7027
398	4652	7007
399	4698	7047
400	4731	7067
401	4754	7072
402	4765	7059
403	4775	7045
404	4785	7030
405	4794	7014
406	4802	6997
407	4811	6980
408	4819	6964
409	4827	6946
410	4835	6929
411	4842	6911
412	4850	6893
413	4857	6875
414	4865	6858
415	4871	6839
416	4878	6821
417	4887	6804
418	4910	6809
419	4946	6830
420	5001	6877
421	5020	6876
422	5032	6865
423	5043	6852
424	5055	6839
425	5066	6827
426	5075	6810
427	5081	6791
428	5089	6774
429	5098	6757
430	5107	6743
431	5115	6725
432	5124	6710
433	5134	6696
434	5142	6678
435	5149	6661
436	5156	6643
437	5162	6624
438	5171	6608
439	5178	6590
440	5185	6572
441	5241	6617
442	5291	6653
443	5302	6640
444	5312	6625
445	5322	6611
446	5332	6596
447	5341	6581
